,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len
1171,37999,5,Chevrolet,Automatic,51167,Gray,Black,25,V8,-1,Gasoline,3,462
1172,38965,6,Chevrolet,Automatic,33694,Red,Black,25,V8,Four-Wheel Drive,Gasoline,4,633
1173,38999,5,Ford,Automatic,26890,White,Gray,18,V8,Four-Wheel Drive,Flex Fuel Vehicle,4,502
1174,39999,7,RAM,Automatic,33902,Silver,Black,17,V8,Four-Wheel Drive,Gasoline,6,638
1175,39999,5,Ford,Automatic,34458,White,Gray,19,V6,Four-Wheel Drive,Gasoline,3,683
1176,44507,7,Chevrolet,Automatic,69091,White,Black,18,V8,Four-Wheel Drive,Flex Fuel Vehicle,10,925
1177,46499,7,GMC,Automatic,33636,Gray,Black,17,V8,Four-Wheel Drive,Gasoline,9,833
1178,46999,5,Chevrolet,Automatic,12905,Blue,Black,18,V8,Four-Wheel Drive,Gasoline,6,685
1179,49999,6,Ford,Automatic,18878,Black,Black,19,V6,Four-Wheel Drive,Gasoline,8,917
1180,52999,6,Ford,Automatic,29195,White,Gray,25,V8,Four-Wheel Drive,Flex Fuel Vehicle,5,532
1181,56409,8,Ford,Automatic,46482,White,Black,25,V8,Four-Wheel Drive,Biodiesel,8,857
1182,62999,5,Ford,Automatic,61125,Silver,Black,25,V8,Four-Wheel Drive,Biodiesel,7,698
1183,74999,4,Ford,Automatic,12458,Silver,Black,25,V8,Four-Wheel Drive,Biodiesel,11,892
1184,76915,4,Ford,Automatic,11014,Black,Black,25,V8,Four-Wheel Drive,Biodiesel,8,790
1185,76999,4,Ford,Automatic,9003,Gray,Black,25,V8,Four-Wheel Drive,Biodiesel,11,850
1186,79999,4,Ford,Automatic,19218,Black,Black,25,V8,Four-Wheel Drive,Biodiesel,8,847
1187,89999,3,GMC,Automatic,511,Gray,Black,16,V8,Four-Wheel Drive,Gasoline,8,795
1188,12296,6,Kia,Automatic,70376,Silver,-1,27,I4,Front-Wheel Drive,Gasoline,3,4470
1189,13348,6,Toyota,-1,80079,Gray,-1,31,I4,Front-Wheel Drive,Gasoline,2,4480
1190,14151,6,Chevrolet,Automatic,48818,-1,-1,33,I4,Front-Wheel Drive,Gasoline,5,4376
1191,14628,6,Chevrolet,Automatic,73411,-1,-1,31,I4,Front-Wheel Drive,Gasoline,3,4771
1192,14681,6,Chevrolet,Automatic,72846,Silver,-1,31,I4,Front-Wheel Drive,Gasoline,3,4771
1193,14734,6,Chevrolet,Automatic,72314,Gray,Black,31,I4,Front-Wheel Drive,Gasoline,3,2737
1194,16059,6,Chevrolet,Automatic,58108,Silver,-1,31,I4,Front-Wheel Drive,Gasoline,3,4771
1195,16333,5,Kia,Automatic,51103,Black,-1,28,I4,Front-Wheel Drive,Gasoline,5,4840
1196,16536,5,Chevrolet,-1,53212,Blue,-1,32,I4,Front-Wheel Drive,Gasoline,5,5020
1197,16589,5,Chevrolet,-1,52385,Black,-1,32,I4,Front-Wheel Drive,Gasoline,5,5020
1198,16695,6,Chevrolet,Automatic,50985,Silver,-1,31,I4,Front-Wheel Drive,Gasoline,3,4816
1199,16695,5,Chevrolet,-1,50576,White,-1,32,I4,Front-Wheel Drive,Gasoline,5,5011
1200,16748,5,Volkswagen,Automatic,28761,Red,Gray,34,I4,Front-Wheel Drive,Gasoline,7,5333
1201,16907,5,Chevrolet,-1,47731,Gray,-1,32,I4,Front-Wheel Drive,Gasoline,3,3991
1202,17013,6,Chevrolet,Automatic,47481,Silver,-1,31,I4,Front-Wheel Drive,Gasoline,3,4816
1203,18815,4,Kia,Automatic,18490,White,-1,27,I4,Front-Wheel Drive,Gasoline,3,1019
1204,18974,6,Chevrolet,Automatic,50134,Red,-1,28,I4,Front-Wheel Drive,Gasoline,3,4920
1205,19133,5,Dodge,Automatic,58485,-1,-1,20,V6,Front-Wheel Drive,Flex Fuel Vehicle,8,5194
1206,19239,5,Dodge,Automatic,56981,White,-1,20,V6,Front-Wheel Drive,Flex Fuel Vehicle,8,5205
1207,19504,5,Chevrolet,Automatic,49188,White,-1,28,I4,Front-Wheel Drive,Gasoline,3,4857
1208,19822,6,Chevrolet,Automatic,58442,Black,-1,25,V6,Front-Wheel Drive,Flex Fuel Vehicle,9,5017
1209,20140,5,Chevrolet,Automatic,49731,Blue,-1,27,I4,Four-Wheel Drive,Gasoline,3,4980
1210,21286,5,Chrysler,Automatic,63402,Black,-1,22,V6,Front-Wheel Drive,Gasoline,7,6036
1211,21730,5,Chrysler,Automatic,55349,Silver,-1,22,V6,Front-Wheel Drive,Gasoline,3,1021
1212,21836,5,GMC,Automatic,53775,Silver,-1,27,I4,Front-Wheel Drive,Gasoline,6,5079
1213,21836,5,GMC,Automatic,53263,Silver,-1,27,I4,Front-Wheel Drive,Gasoline,6,5079
1214,21942,5,Chrysler,Automatic,53938,Black,-1,22,V6,Front-Wheel Drive,Gasoline,9,6036
1215,22042,5,Chrysler,Automatic,53407,Black,-1,22,V6,Front-Wheel Drive,Gasoline,7,5033
1216,22478,5,Chrysler,Automatic,51120,Silver,-1,22,V6,Front-Wheel Drive,Gasoline,9,6078
1217,23850,5,Chrysler,Automatic,42006,Black,-1,22,V6,Front-Wheel Drive,Gasoline,9,6082
1218,24050,6,GMC,Automatic,38602,-1,-1,25,V8,Rear-Wheel Drive,Flex Fuel Vehicle,3,970
1219,24592,6,GMC,Automatic,35864,White,-1,25,V8,Rear-Wheel Drive,Flex Fuel Vehicle,1,3011
1220,27560,5,Cadillac,Automatic,29053,Black,Black,23,V6,Front-Wheel Drive,Gasoline,7,3405
1221,28470,6,Ford,Automatic,31962,White,Black,15,V6,Rear-Wheel Drive,Gasoline,1,2866
1222,28514,6,Ford,Automatic,60732,-1,-1,18,V6,All-Wheel Drive,Gasoline,4,5668
1223,29256,6,Ford,Automatic,56454,White,Black,18,V6,All-Wheel Drive,Gasoline,4,2273
1224,33911,5,RAM,Automatic,19089,-1,-1,17,V8,Four-Wheel Drive,Gasoline,3,4301
1225,15314,7,MINI,Automatic,51156,Blue,Black,25,I3,Front-Wheel Drive,Gasoline,4,2538
1226,19455,6,MINI,Automatic,23431,White,Black,25,I3,-1,Gasoline,5,2091
1227,20894,6,MINI,Automatic,4316,-1,Black,25,I3,-1,Gasoline,6,2778
1228,21560,6,MINI,Automatic,11223,Black,Black,25,I3,-1,Gasoline,10,3549
1229,23418,4,MINI,Automatic,4407,White,Black,25,I3,-1,Gasoline,2,3176
1230,24425,4,MINI,Automatic,4220,Gray,Black,25,I3,-1,Gasoline,4,3592
1231,36625,4,MINI,Automatic,4972,Red,Black,25,I4,All-Wheel Drive,Gasoline,8,4323
1232,16447,9,MINI,Automatic,66469,Silver,Black,26,I4,All-Wheel Drive,Gasoline,7,5389
